chunk_batch_mib,avg_mean_raw_gbs,std_mean_across_outer_runs,n_outer_runs
0.001953125,4.586064400000001,0.19875265350972182,10
0.00390625,4.7472339,0.1653386218149154,10
0.0078125,5.6712293,0.1991173385664565,10
0.015625,6.0200151,0.10663439208961714,10
0.03125,6.1653661,0.11692574475419115,10
0.0625,6.1564873,0.11040093545301147,10
0.125,6.2202226,0.11712158295283517,10
0.25,6.2966688,0.0726343869310154,10
0.5,6.1969707,0.1604877643934612,10
1.0,6.1309664,0.09505556095393176,10
2.0,5.5575107,0.18878865677379986,10
4.0,4.8458568,0.10380784843246577,10
8.0,4.7479961,0.09472760480738665,10
